Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
100,0,0,0,0,0,0,0,0,0,"because, I am number one!"
52,2,2,2,2,2,2,12,12,12,"I need to win at least 4 castles to win the game. Any combination of 7 castles wins the game. I assume that the border cases of trying to win 1-7 or 1 and 8-10 will be popular. If possible, I should like to be able to beat either strategy.

One way to do that would be to play minimally on all numbers except for 1. Then I take the ones they don't want, but I also steal castle 1, which is less sought after.

Of course, I lose to the ""10s all around"" strategy, which I imagine will also be popular.

Notice that the key is not beating a randomly generated opponent, but beating the most opponents, which means I want to be able to beat the most popular strategies. Hmm.

The method I've devised will beat ""10s all around"" and has a shot at beating folks who go all in on another strategy. I expect to get beaten a lot, though, by folks who pick a different set of castles they want to win. Oh well. I've already spent too long on this. If nothing else, I've given you another weird data point! :)"
26,26,26,16,1,1,1,1,1,1,The top 3 are necessary for a majority and the 4th is also needed. The rest are filled in case my opponent leaves them empty.
26,5,5,5,6,7,26,0,0,0,"Most people will focus on high number, but castles 1-7 equal 28 points, enough to win. Realizing that someone may attempt to take castles 8-10 and castle 1, i redeployed troops to castle 1 to thwart that strategy. "
25,0,0,0,0,0,0,25,25,25,"The total points up for grabs is 55, and to win the war I need 28 points. I want to get 28 points by using the least number of castles, so I can put more soldiers in each castle and increase my odds of winning that castle. I can earn 28 points by winning castles 1, 8, 9, and 10. So I will put 25 soldiers each in castles 1, 8, 9, and 10 to maximize my odds of winning each of those castles simultaneously."
25,0,0,0,0,0,0,25,25,25,Submission #4. A variation of my third submission. Equally divided among just enough points to win. (Not convinced this will win either).
25,0,0,0,0,0,0,25,25,25,"There are 55 points up for grabs, so 28 are needed to win. Winning castles 1,8,9,10 are the fewest number of castles needed reach 28 points. Castle 1 is as important as castle 10 for getting to 28 points. "
25,0,0,0,0,0,0,25,25,25,"Since there are 55 available points, I only need to win 27.5 or more points to win any given battle. By maximizing my soldiers in the four castles that are worth 28 points combined, I maximize my chances of beating more evenly distributed enemies. "
23,1,1,1,1,2,2,23,23,23,"The ones and twos are mostly to pick up any undefended castles, while I hope to grab the highest castles to get me over 27.5. Have to admit I don't know much game theory, so it's mostly just a guess."
21,18,15,13,11,9,6,4,2,1,"On average 1.81 soldiers per point, with some slight weighting to the top castles and unweighting the lower castles."
